ID, Name, Date, In Danger, Danger list, long, lat, Area [ha], Category, Countries, Region
277, "Hatra", 1985, 1, Y 2015, 42.71833, 35.58806, 323.75, Cultural, "Iraq", "Arab States"
278, "Babylon", 2019, 0, , 44.42083333, 32.54196944, 1054.3, Cultural, "Iraq", "Arab States"
280, "Salonga National Park", 1984, 0, P 1999-2021, 21, -2, 3600000, Natural, "Democratic Republic of the Congo", "Africa"
284, "Chitwan National Park", 1984, 0, , 84.33333, 27.5, 93200, Natural, "Nepal", "Asia and the Pacific"
285, "Port, Fortresses and Group of Monuments, Cartagena", 1984, 0, , -75.53333333, 10.41666667, 0, Cultural, "Colombia", "Latin America and the Caribbean"
286, "Vatican City", 1984, 0, , 12.45736, 41.90216, 44, Cultural, "Holy See", "Europe and North America"
287, "Rock-Art Sites of Tadrart Acacus", 1985, 1, Y 2016, 10.33333, 24.83333, 3923961, Cultural, "Libya", "Arab States"
288, "Castles of Augustusburg and Falkenlust at Brühl", 1984, 0, , 6.909777778, 50.82502778, 89, Cultural, "Germany", "Europe and North America"
289, "Lake Malawi National Park", 1984, 0, , 34.88333, -14.03333, 9400, Natural, "Malawi", "Africa"
292, "Cologne Cathedral", 1996, 0, P 2004-2006, 6.957222222, 50.94111111, , Cultural, "Germany", "Europe and North America"
293, "Anjar", 1984, 0, , 35.93333333, 33.73194444, , Cultural, "Lebanon", "Arab States"
294, "Baalbek", 1984, 0, , 36.20416667, 34.00666667, 0, Cultural, "Lebanon", "Arab States"
295, "Byblos", 1984, 0, , 35.64555556, 34.11917, , Cultural, "Lebanon", "Arab States"
299, "Tyre", 1984, 0, , 35.19583333, 33.26916667, 153.8, Cultural, "Lebanon", "Arab States"
300, "Historic District of Old Québec", 1985, 0, , -71.21055556, 46.80944444, 135, Cultural, "Canada", "Europe and North America"
302, "Mana Pools National Park, Sapi and Chewore Safari Areas", 1984, 0, , 29.40805556, -15.81944444, 676600, Natural, "Zimbabwe", "Africa"
303, "Iguazu National Park", 1984, 0, , -54.286073, -25.577357, 55000, Natural, "Argentina", "Latin America and the Caribbean"
304, "Canadian Rocky Mountain Parks", 1984, 0, , -116.4797222, 51.42472222, 2360000, Natural, "Canada", "Europe and North America"
306, "Matobo Hills", 2003, 0, , 28.5, -20.5, 205000, Cultural, "Zimbabwe", "Africa"
307, "Statue of Liberty", 1984, 0, , -74.04472222, 40.68944444, 5.95, Cultural, "United States of America", "Europe and North America"
308, "Yosemite National Park", 1984, 0, , -119.5966667, 37.74611111, 307934, Natural, "United States of America", "Europe and North America"
