DIN, Title, Status, DIN replacement, Other org replacement, Last version
DIN 982, "Prevailing torque type hexagon nuts with nonmetallic insert", Withdrawn, DIN EN ISO 7040;DIN EN ISO 10512, ISO 7040;ISO 10512, 
DIN 983, "Retaining rings with lugs for use on shafts (external circlips)", Active, , , 
DIN 985, "Prevailing torque type hexagon thin nuts with nonmetallic insert", Withdrawn, DIN EN ISO 10511, ISO 10511, 
DIN 986, "Prevailing torque type hexagon domed cap nuts with non-metallic insert", Active, , , 
DIN 988, "Shim rings and supporting rings", Active, , , 
DIN 1025-1, "Hot rolled I-sections - Part 1: Narrow flange I-sections, I-serie - Dimensions, masses, sectional properties", Active, , , 
DIN 1025-2, "Hot rolled I-beams - Part 2: Wide flange I-beams, IPB-serie; dimensions, masses, sectional properties", Active, , , 
DIN 1025-3, "Hot rolled I-beams; wide flange I-beams, light pattern, IPBl-serie; dimensions, masses, sectional properties", Active, , , 
DIN 1025-4, "Hot rolled I-beams; wide flange I-beams heavy pattern, IPBv-serie; dimensions, masses, sectional properties", Active, , , 
DIN 1025-5, "Hot rolled I-beams; medium flange I-beams, IPE-serie; dimensions, masses, sectional properties", Active, , , 
DIN 1301-1, "Units - Part 1: Names and Symbols", Active, , , 
DIN 1301-2, "Units - Part 2: Submultiples and Multiples for General Use", Active, , , 
DIN 1301-3, "Units - Part 3: Conversions of Units No Longer To Be Used", Active, , , 
DIN 1302, "General Mathematical Symbols and Concepts", Active, , , 
DIN 1303, "Vectors, matrices, tensors; symbols and concepts", Active, , , 
DIN 1304-1, "Letter symbols for physical quantities - Part 1: Symbols for general use", Active, , , 
DIN 1304-2, "Letter symbols for physical quantities - Part 2: Symbols for use in meteorology and geophysics", Active, , , 
DIN 1304-3, "Letter symbols for physical quantities - Part 3: Symbols for use in electric power engineering", Active, , , 
DIN 1304-5, "Letter symbols for physical quantities - Part 5: Symbols for use in fluid mechanics", Active, , , 
DIN 1304-8, "Letter symbols for physical quantities - Part 9: Symbols for use in the field of static converters using semiconductor devices", Active, , , 
DIN 1304-9, "Letter symbols for physical quantities - Part 9: Symbols for equivalent circuits of piezoelectric crystals", Active, , , 
DIN 1311-1, "(Mechanical) vibrations, oscillations and vibration systems - Part 1: Basic concepts, survey", Active, , , 
DIN 1311-2, "(Mechanical) vibrations, oscillations and vibration systems - Part 2: Linear vibration systems with single degree of freedom", Active, , , 
DIN 1311-3, "(Mechanical) vibrations, oscillations and vibration systems - Part 3: Linear time-invariant vibration systems with a finite number of degrees of freedom", Active, , , 
DIN 1311-4, "Vibration; Vibrating Continua, Waves", Active, , , 
DIN 1313, "Physical Quantities and Equation; Concepts, Methods of Writing", Active, , , 
DIN 1315, "Angle; Concepts, Units", Active, , , 
DIN 1318, "Loudness Level", Active, , , 
DIN 1319-1, "Fundamentals of Metrology - Part 1: Basic Terminology", Active, , , 
DIN 1319-2, "Basic Concepts in Metrology - Part 2: Terminology Related To Measuring Equipment", Active, , , 
